date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:48	13715/13715	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:20:49%20GMT	http://www.ubmc.co.uk/ftr/	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/index.html	(from )
14:20:48	618/618	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Apr%202019%2013:20:49%20GMT	http://www.ubmc.co.uk/robots.txt		(from )
14:20:48	20682/20682	U-----	200	untouched ('OK')	text/css	date:Fri,%2024%20Aug%202012%2008:47:10%20GMT	http://www.ubmc.co.uk/templates/animalbusiness-fjt/css/styles.css	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/templates/animalbusiness-fjt/css/styles.css	(from http://www.ubmc.co.uk/ftr/)
14:20:48	1688/1688	U-----	200	untouched ('OK')	text/css	date:Fri,%2024%20Aug%202012%2008:47:09%20GMT	http://www.ubmc.co.uk/templates/animalbusiness-fjt/css/NivooSlider.css	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/templates/animalbusiness-fjt/css/NivooSlider.css	(from http://www.ubmc.co.uk/ftr/)
14:20:48	15717/15717	U-----	200	untouched ('')	application/javascript	date:Fri,%2024%20Aug%202012%2008:47:19%20GMT	http://www.ubmc.co.uk/templates/animalbusiness-fjt/slideshow/NivooSlider.js	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/templates/animalbusiness-fjt/slideshow/NivooSlider.js	(from http://www.ubmc.co.uk/ftr/)
14:20:48	352726/352726	U-----	200	untouched ('')	application/javascript	etag:%225c77f111-561d6%22	http://s7.addthis.com/js/300/addthis_widget.js	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/s7.addthis.com/js/300/addthis_widget.js	(from http://www.ubmc.co.uk/ftr/)
14:20:49	17768/17768	U-----	200	untouched ('')	image/png	date:Fri,%2024%20Aug%202012%2008:46:49%20GMT	http://www.ubmc.co.uk/templates/logo2.png	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/templates/logo2.png	(from http://www.ubmc.co.uk/ftr/)
14:20:49	10314/10314	U--MCZ	200	updated ('OK')	text/css	date:Fri,%2012%20Apr%202019%2013:20:51%20GMT	http://www.ubmc.co.uk/ftr/style.php?id=2&lang=en	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/style6f58.css	(from http://www.ubmc.co.uk/ftr/)
14:20:49	219/219	U-----	200	untouched ('')	image/gif	date:Sat,%2028%20Jan%202012%2011:48:16%20GMT	http://www.ubmc.co.uk/ftr/styles/subsilver2/theme/images/icon_mini_faq.gif	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/styles/subsilver2/theme/images/icon_mini_faq.gif	(from http://www.ubmc.co.uk/ftr/)
14:20:50	677/677	U-----	200	untouched ('')	image/gif	date:Sat,%2028%20Jan%202012%2011:47:52%20GMT	http://www.ubmc.co.uk/ftr/styles/subsilver2/imageset/forum_read.gif	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/styles/subsilver2/imageset/forum_read.gif	(from http://www.ubmc.co.uk/ftr/)
