HTTrack3.49-2+htsswf+htsjava launched on Thu, 11 Apr 2019 18:17:22 at http://www.ubmc.co.uk/ftr/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://www.ubmc.co.uk/ftr/ -O1 "C:\Users\Tom\Documents\uni\first year\ubmc\ftr-backup\HTTrack\UBMC 5" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

18:19:02	Error: 	"Not Found" (404) at link www.ubmc.co.uk/templates/animalbusiness-fjt/images/bg.png (from www.ubmc.co.uk/templates/animalbusiness-fjt/css/styles.css)
18:19:02	Error: 	"Not Found" (404) at link www.ubmc.co.uk/templates/animalbusiness-fjt/images/main-top.png (from www.ubmc.co.uk/templates/animalbusiness-fjt/css/styles.css)
18:19:02	Error: 	"Not Found" (404) at link www.ubmc.co.uk/templates/animalbusiness-fjt/css/images/arrow-left.png (from www.ubmc.co.uk/templates/animalbusiness-fjt/css/NivooSlider.css)
18:19:02	Error: 	"Not Found" (404) at link www.ubmc.co.uk/templates/animalbusiness-fjt/css/images/arrow-right.png (from www.ubmc.co.uk/templates/animalbusiness-fjt/css/NivooSlider.css)
18:23:14	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3726 (from www.ubmc.co.uk/ftr/viewforum.php?f=4)
18:23:40	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3703 (from www.ubmc.co.uk/ftr/viewforum.php?f=4)
18:24:16	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=2621 (from www.ubmc.co.uk/ftr/viewforum.php?f=5)
18:26:43	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=3169 (from www.ubmc.co.uk/ftr/viewforum.php?f=3&start=100)
18:30:31	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=3150 (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2718)
18:31:08	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=3544&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=3544)
18:31:12	Warning: 	Retry after error -5 (Unable to get server's address: No such host is known. ) at link a1.sphotos.ak.fbcdn.net/hphotos-ak-snc6/226872_10150235977524468_611614467_8629583_2869708_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2216&start=15)
18:39:14	Error: 	"Not Found" (404) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3680 (from www.ubmc.co.uk/ftr/viewforum.php?f=4&start=600)
18:39:45	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=1858&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=1858)
18:40:06	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=983&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=983)
18:42:03	Warning: 	Unexpected socket error during pre-loop
18:42:03	Warning: 	Unexpected socket error during pre-loop
18:42:35	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=2602 (from www.ubmc.co.uk/ftr/viewforum.php?f=3&start=250)
18:42:46	Warning: 	Retry after error -5 (Unable to get server's address: No such host is known. ) at link sphotos-b.ak.fbcdn.net/hphotos-ak-prn1/149731_451630994897256_1601706464_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=3201)
18:42:49	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?t=2783 (from www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=2802)
18:42:50	Error: 	"Not Found" (404) at link www.scarpettearrampicata.it/images/scarpette/scarpa/spectro/spectro01-zoom.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2771)
18:43:57	Error: 	"Not Found" (404) at link www.campmor.com/wcsstore/Campmor/static/images/climbing/36817.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2711)
18:43:59	Error: 	"Not Found" (404) at link https://thechive.files.wordpress.com/2012/04/nailed-it-0.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2589)
18:45:56	Error: 	"Not Found" (404) at link www.howbigismypotato.com/potato.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2617&start=15)
18:51:27	Error: 	"Not Found" (404) at link img476.imageshack.us/img476/1108/nathanunv2bw5.png (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=72)
18:51:28	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=51&view=previous (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=51)
18:52:01	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?t=3268 (from www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=3343)
18:52:01	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?t=3624 (from www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=3325)
18:52:05	Error: 	"Not Found" (404) at link img443.imageshack.us/img443/415/tammybadgefn5.th.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=41&start=45)
18:52:06	Error: 	"Not Found" (404) at link cdn-www.i-am-bored.com/media/mikelitorisID.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=41&start=225)
18:52:14	Warning: 	Retry after error -5 (Unable to get server's address: No such host is known. ) at link https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/303444_10152792456560422_1997118067_n.jpg?oh=2b3e3a86e7d737d3ca572095156d960d&oe=54AA379E&__gda__=1425144465_cb2a1a5633061671899e25f864577fa7 (from www.ubmc.co.uk/ftr/viewtopic.php?t=3580)
18:52:15	Warning: 	Retry after error -5 (Unable to get server's address: No such host is known. ) at link https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-ash3/v/t1.0-9/535159_10100142510521805_861944160_n.jpg?oh=2b923928320def728baf3c6291e7fee2&oe=54F34242&__gda__=1420488323_c597e95f810952329f425f66ccf12d52 (from www.ubmc.co.uk/ftr/viewtopic.php?t=3580)
18:52:15	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/s720x720/9834_10151903233735036_433799243_n.jpg?oh=f32353123acb6bfd9f5c9b00a74fe7c7&oe=54DBC895&__gda__=1425211112_84f09dd9277756629299d7e3557ae1a9 (from www.ubmc.co.uk/ftr/viewtopic.php?t=3580)
18:52:22	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link a1.sphotos.ak.fbcdn.net/hphotos-ak-snc6/226872_10150235977524468_611614467_8629583_2869708_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2216&start=15)
18:52:32	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3611&start=0 (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3611&start=15)
18:52:32	Warning: 	Retry after error -5 (Unable to get server's address: No such host is known. ) at link https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-prn2/1465346_578738358864198_1470192558_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3319&start=60)
18:52:32	Error: 	"Forbidden" (403) at link https://rykneldstreetrunners.files.wordpress.com/2012/03/09032012038.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3612)
18:53:53	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3558&view=previous (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3558)
18:53:53	Warning: 	Retry after error -5 (Unable to get server's address: No such host is known. ) at link https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-prn2/v/t34.0-12/10156983_10152325396382350_1799656094_n.jpg?oh=34c31a3192a1b22d1f4885fd511935cc&oe=5345EDA2&__gda__=1397089542_4e3a93455734608dd4db111d550b95ef (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3543)
18:54:54	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3262&start=0 (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3262&start=15)
18:54:55	Error: 	"Not Found" (404) at link https://dl.dropbox.com/u/2573058/UBMC Hoody Design.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=3213)
18:55:42	Error: 	"Not Found" (404) at link j.ukc2.com/i/204759.jpg?v=7539 (from www.ubmc.co.uk/ftr/viewtopic.php?f=4&t=2740)
18:59:05	Error: 	"Not Found" (404) at link img502.imageshack.us/img502/6859/coloursqs0.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?t=521)
18:59:58	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=2555 (from www.ubmc.co.uk/ftr/memberlist.php?g=6&mode=group&start=150)
19:01:15	Error: 	"Bad Request" (400) at link https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc7/420492_10150721033760358_515480357_11825284_1193237548_n.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2540)
19:01:16	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2477&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2477)
19:01:16	Warning: 	Retry after error -4 (Receive Error) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2501&view=previous (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2501)
19:01:16	Warning: 	Retry after error -4 (Receive Error) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2501&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2501)
19:01:18	Error: 	"Not Found" (404) at link https://outdoorsmagic.com/news/images/red-chili-spirit-blue.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2358)
19:01:19	Error: 	"Not Found" (404) at link www.theepicentre.co.uk/catalogue/black-diamond/products_pictures/camalot-c4-_2-vertical.jpg (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2410)
19:01:19	Warning: 	Retry after error -4 (No data (connection closed)) at link www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2443&view=next (from www.ubmc.co.uk/ftr/viewtopic.php?f=3&t=2443)
